time_period,TOT_REV,PROFIT,TAX_ACCRUED,EMPLOYEES,ENTITIES_COUNT,ASSETS,EARNINGS,PAYROLL,TAX_BASE,SBIE,EXCESS_PROFIT,ETR,TTR,QDMTT
2016,98924500352.504,38872070880.503,420237800.61,70576,497,17496562680.272,95261205096.225,2952932304.96,37177052635.585236,1695018244.9177601,97229482107.58624,0.010810790140351849,0.13918920985964814,5174644581.257658
2017,105074642251,33690688778.4,556130814.75,87262,861,19716366659,111166424824.44,3651082220.5199995,31748271223.628002,1942417554.7719998,103132224696.228,0.01650695889324027,0.13349304110675972,4238173275.5243297
2018,124147553742.93,38224254341.922,1310760163.129,98014,829,30042282900.89,28289489928.846,4100950846.4399996,35410776625.206795,2813477716.7152004,121334076026.2148,0.034291320673100464,0.11570867932689953,4097334197.2425227
2019,117015939376.54,33986595608.017,613962717.91,86985,849,27949325795.4,38368140356.795,3639492413.1,31386700303.075,2599895304.9420004,114416044071.598,0.018064849006682333,0.13193515099331765,4141009043.668209
2020,113756638226.8,35300987499.091,619754808.4449999,93139.734,843,27503736961.17,24771620537.96,3897009314.83764,32710987610.713634,2589999888.377364,111166638338.42264,0.017556302311966726,0.13244369768803327,4332364154.190358
2021,115574457057,32306693147,824113852,99575,1108,30940595598,25061994315,4166263804.5,29414819118.710003,2891874028.29,112682583028.71,0.0255090747991497,0.1244909252008503,3661878046.7038684
